code,description,unit,price
PVCFTR101400125,PVC 90° reducing tee 140 x 125 mm PVCFTR101400125,each,1952.23
PVCFTR101600090,PVC 90° reducing tee 160 x 90 mm PVCFTR101600090,each,2444.79
PVCFTR101600110,PVC 90° reducing tee 160 x 110 mm PVCFTR101600110,each,1413.17
PVCFTR101600125,PVC 90° reducing tee 160 x 125 mm PVCFTR101600125,each,2637.93
PVCFTR101600140,PVC 90° reducing tee 160 x 140 mm PVCFTR101600140,each,2637.93
PVCFTR102000110,PVC 90° reducing tee 200 x 110 mm PVCFTR102000110,each,5694.58
PVCFTR102000160,PVC 90° reducing tee 200 x 160 mm PVCFTR102000160,each,4051.51
PVCFTR102500110,PVC 90° reducing tee 250 x 110 mm PVCFTR102500110,each,9427.35
PVCFTR102500160,PVC 90° reducing tee 250 x 160 mm PVCFTR102500160,each,9427.35
PVCFTR102500200,PVC 90° reducing tee 250 x 200 mm PVCFTR102500200,each,9427.35
PVCFTR103150160,PVC 90° reducing tee 315 x 160 mm PVCFTR103150160,each,18036.72
PVCFTR103150200,PVC 90° reducing tee 315 x 200 mm PVCFTR103150200,each,17525.48
PVCFTR103150250,PVC 90° reducing tee 315 x 250 mm PVCFTR103150250,each,17525.48
PVCFTY10020,PVC 45° tee 20 mm PVCFTY10020,each,88.92
PVCFTY10025,PVC 45° tee 25 mm PVCFTY10025,each,100.18
PVCFTY10032,PVC 45° tee 32 mm PVCFTY10032,each,112.72
PVCFTY10040,PVC 45° tee 40 mm PVCFTY10040,each,155.30
PVCFTY10050,PVC 45° tee 50 mm PVCFTY10050,each,202.87
PVCFTY10063,PVC 45° tee 63 mm PVCFTY10063,each,281.78
PVCFTY10075,PVC 45° tee 75 mm PVCFTY10075,each,1265.34
PVCFTY10090,PVC 45° tee 90 mm PVCFTY10090,each,2080.78
PVCFTY10110,PVC 45° tee 110 mm PVCFTY10110,each,4217.82
PVCFTY10125,PVC 45° tee 125 mm PVCFTY10125,each,
PVCFTY10160,PVC 45° tee 160 mm PVCFTY10160,each,4492.14
PVCFCR10020,PVC Cross 20 mm PVCFCR10020,each,64.90
PVCFCR10025,PVC Cross 25 mm PVCFCR10025,each,81.11
PVCFCR10032,PVC Cross 32 mm PVCFCR10032,each,91.00
PVCFCR10040,PVC Cross 40 mm PVCFCR10040,each,192.34
PVCFCR10050,PVC Cross 50 mm PVCFCR10050,each,159.13
PVCFCR10063,PVC Cross 63 mm PVCFCR10063,each,227.50
PVCFCR10075,PVC Cross 75 mm PVCFCR10075,each,1002.67
PVCFCR10090,PVC Cross 90 mm PVCFCR10090,each,1669.11
PVCFCR10110,PVC Cross 110 mm PVCFCR10110,each,2918.72
PVCFCA10016,PVC Cap 16 mm PVCFCA10016,each,11.59
PVCFCA10020,PVC Cap 20 mm PVCFCA10020,each,11.03
PVCFCA10025,PVC Cap 25 mm PVCFCA10025,each,12.06
PVCFCA10032,PVC Cap 32 mm PVCFCA10032,each,15.91
PVCFCA10040,PVC Cap 40 mm PVCFCA10040,each,20.80
PVCFCA10050,PVC Cap 50 mm PVCFCA10050,each,28.79
PVCFCA10063,PVC Cap 63 mm PVCFCA10063,each,39.15
PVCFCA10075,PVC Cap 75 mm PVCFCA10075,each,95.73
PVCFCA10090,PVC Cap 90 mm PVCFCA10090,each,134.17
PVCFCA10110,PVC Cap 110 mm PVCFCA10110,each,190.91
PVCFCA10125,PVC Cap 125 mm PVCFCA10125,each,330.82
PVCFCA10140,PVC Cap 140 mm PVCFCA10140,each,362.08
PVCFCA10160,PVC Cap 160 mm PVCFCA10160,each,496.24
PVCFCA10200,PVC Cap 200 mm PVCFCA10200,each,1087.39
PVCFCA10250,PVC Cap 250 mm PVCFCA10250,each,3957.10
PVCFCA10315,PVC Cap 315 mm PVCFCA10315,each,6070.02
PVCFBO10016N,PVC Union 16 mm PVCFBO10016N,each,58.86
PVCFBO10020N,PVC Union 20 mm PVCFBO10020N,each,46.50
PVCFBO10025N,PVC Union 25 mm PVCFBO10025N,each,50.91
PVCFBO10032N,PVC Union 32 mm PVCFBO10032N,each,68.03
PVCFBO10040N,PVC Union 40 mm PVCFBO10040N,each,85.25
PVCFBO10050N,PVC Union 50 mm PVCFBO10050N,each,109.07
PVCFBO10063N,PVC Union 63 mm PVCFBO10063N,each,161.53
PVCFBO10075N,PVC Union 75 mm PVCFBO10075N,each,502.69
PVCFBO10090N,PVC Union 90 mm PVCFBO10090N,each,600.43
PVCFBO10110N,PVC Union 110 mm PVCFBO10110N,each,698.12
PVCFPO10016,PVC Hose adaptor 16 mm PVCFPO10016,each,22.17
PVCFPO10020,PVC Hose adaptor 20 mm PVCFPO10020,each,29.09
PVCFPO10025,PVC Hose adaptor 25 mm PVCFPO10025,each,33.24
PVCFPO10032,PVC Hose adaptor 32 mm PVCFPO10032,each,37.40
PVCFPO10040,PVC Hose adaptor 40 mm PVCFPO10040,each,47.10
PVCFPO10050,PVC Hose adaptor 50 mm PVCFPO10050,each,66.48
PVCFPO10063,PVC Hose adaptor 63 mm PVCFPO10063,each,110.81
PVCFQR10020,PVC Serrated stub flange 20 mm PVCFQR10020,each,13.77
PVCFQR10025,PVC Serrated stub flange 25 mm PVCFQR10025,each,13.77
PVCFQR10032,PVC Serrated stub flange 32 mm PVCFQR10032,each,15.03
PVCFQR10040,PVC Serrated stub flange 40 mm PVCFQR10040,each,23.80
PVCFQR10050,PVC Serrated stub flange 50 mm PVCFQR10050,each,37.57
PVCFQR10063,PVC Serrated stub flange 63 mm PVCFQR10063,each,61.17
PVCFQR10075,PVC Serrated stub flange 75 mm PVCFQR10075,each,97.98
PVCFQR10090,PVC Serrated stub flange 90 mm PVCFQR10090,each,119.63
PVCFQR10110,PVC Serrated stub flange 110 mm PVCFQR10110,each,165.45
PVCFQR10125,PVC Serrated stub flange 125 mm PVCFQR10125,each,252.66
PVCFQR10140,PVC Serrated stub flange 140 mm PVCFQR10140,each,379.60
PVCFQR10160,PVC Serrated stub flange 160 mm PVCFQR10160,each,400.88
PVCFQR10200,PVC Serrated stub flange 200 mm PVCFQR10200,each,795.81
PVCFQR10225,PVC Serrated stub flange 225 mm PVCFQR10225,each,857.01
PVCFQR10250,PVC Serrated stub flange 250 mm PVCFQR10250,each,1028.93
PVCFQR10315,PVC Serrated stub flange 315 mm PVCFQR10315,each,3192.32
PVCFQR10355,PVC Serrated stub flange 355 mm PVCFQR10355,each,6356.89
PVCFQR10400,PVC Serrated stub flange 400 mm PVCFQR10400,each,7629.13
PVCFQR10450,PVC Serrated stub flange 450 mm PVCFQR10450,each,7840.46
PVCFQR10500,PVC Serrated stub flange 500 mm PVCFQR10500,each,8121.29
PVCFFF10020,PVC Full face socket flange (DIN 8063) 20 mm PVCFFF10020,each,52.60
PVCFFF10025,PVC Full face socket flange (DIN 8063) 25 mm PVCFFF10025,each,60.12
PVCFFF10032,PVC Full face socket flange (DIN 8063) 32 mm PVCFFF10032,each,80.15
PVCFFF10040,PVC Full face socket flange (DIN 8063) 40 mm PVCFFF10040,each,102.69
PVCFFF10050,PVC Full face socket flange (DIN 8063) 50 mm PVCFFF10050,each,118.71
PVCFFF10063,PVC Full face socket flange (DIN 8063) 63 mm PVCFFF10063,each,152.96
PVCFFF10075,PVC Full face socket flange (DIN 8063) 75 mm PVCFFF10075,each,218.82
PVCFFF10090,PVC Full face socket flange (DIN 8063) 90 mm PVCFFF10090,each,248.17
PVCFFF10110,PVC Full face socket flange (DIN 8063) 110 mm PVCFFF10110,each,319.44
PVCFFF10125,PVC Full face socket flange (DIN 8063) 125 mm PVCFFF10125,each,640.71
PVCFFF10140,PVC Full face socket flange (DIN 8063) 140 mm PVCFFF10140,each,777.68
PVCFFF10160,PVC Full face socket flange (DIN 8063) 160 mm PVCFFF10160,each,1018.29
PVCFFF10200,PVC Full face socket flange (DIN 8063) 200 mm PVCFFF10200,each,1399.11
PVCFFF10225,PVC Full face socket flange (DIN 8063) 225 mm PVCFFF10225,each,2015.27
PVCFFF10250,PVC Full face socket flange (DIN 8063) 250 mm PVCFFF10250,each,4861.32
PVCFFC10020,PVC Blank flange (PN 10-16) 20 mm PVCFFC10020,each,52.60
PVCFFC10025,PVC Blank flange (PN 10-16) 25 mm PVCFFC10025,each,60.12
PVCFFC10032,PVC Blank flange (PN 10-16) 32 mm PVCFFC10032,each,80.15
PVCFFC10040,PVC Blank flange (PN 10-16) 40 mm PVCFFC10040,each,102.69
PVCFFC10050,PVC Blank flange (PN 10-16) 50 mm PVCFFC10050,each,121.49
PVCFFC10063,PVC Blank flange (PN 10-16) 63 mm PVCFFC10063,each,159.06
PVCFFC10075,PVC Blank flange (PN 10-16) 75 mm PVCFFC10075,each,199.27
PVCFFC10090,PVC Blank flange (PN 10-16) 90 mm PVCFFC10090,each,231.83
PVCFFC10110,PVC Blank flange (PN 10-16) 110 mm PVCFFC10110,each,298.26
PVCFFC10125,PVC Blank flange (PN 10-16) 125 mm PVCFFC10125,each,601.16
PVCFFC10140,PVC Blank flange (PN 10-16) 140 mm PVCFFC10140,each,707.81
PVCFFC10160,PVC Blank flange (PN 10-16) 160 mm PVCFFC10160,each,795.09
PVCFFC10200,PVC Blank flange (PN 10-16) 200 mm PVCFFC10200,each,1566.61
PVCFFL10020,PVC PVC backing ring (DIN 8063) 20 mm PVCFFL10020,each,46.33
PVCFFL10025,PVC PVC backing ring (DIN 8063) 25 mm PVCFFL10025,each,50.10
PVCFFL10032,PVC PVC backing ring (DIN 8063) 32 mm PVCFFL10032,each,56.37
PVCFFL10040,PVC PVC backing ring (DIN 8063) 40 mm PVCFFL10040,each,73.89
PVCFFL10050,PVC PVC backing ring (DIN 8063) 50 mm PVCFFL10050,each,82.66
PVCFFL10063,PVC PVC backing ring (DIN 8063) 63 mm PVCFFL10063,each,91.78
PVCFFL10075,PVC PVC backing ring (DIN 8063) 75 mm PVCFFL10075,each,128.95
PVCFFL10090,PVC PVC backing ring (DIN 8063) 90 mm PVCFFL10090,each,147.64
PVCFFL10110,PVC PVC backing ring (DIN 8063) 110 mm PVCFFL10110,each,179.43
PVCFFL10125,PVC PVC backing ring (DIN 8063) 125 mm PVCFFL10125,each,233.13
PVCFFL10140,PVC PVC backing ring (DIN 8063) 140 mm PVCFFL10140,each,269.61
PVCFFL10160,PVC PVC backing ring (DIN 8063) 160 mm PVCFFL10160,each,334.71
PVCFFL10200,PVC PVC backing ring (DIN 8063) 200 mm PVCFFL10200,each,673.38
PVCFFL10250,PVC PVC backing ring (DIN 8063) 250 mm PVCFFL10250,each,967.73
PVCFFL10315,PVC PVC backing ring (DIN 8063) 315 mm PVCFFL10315,each,2811.14
PVCFFL10400,PVC PVC backing ring (DIN 8063) 400 mm PVCFFL10400,each,5264.81
PVCFMA21000,"PVC Socket, female thread 1"" PVCFMA21000",each,29.26
PVCFMA20500,"PVC Socket, female thread 1/2"" PVCFMA20500",each,21.64
PVCFMA21500,"PVC Socket, female thread 1.1/2"" PVCFMA21500",each,55.99
PVCFMA21250,"PVC Socket, female thread 1.1/4"" PVCFMA21250",each,39.07
PVCFMA22000,"PVC Socket, female thread 2"" PVCFMA22000",each,73.81
PVCFMA22500,"PVC Socket, female thread 2.1/2"" PVCFMA22500",each,220.12
PVCFMA23000,"PVC Socket, female thread 3"" PVCFMA23000",each,263.09
PVCFMA20750,"PVC Socket, female thread 3/4"" PVCFMA20750",each,22.91
PVCFMA20375,"PVC Socket, female thread 3/8"" PVCFMA20375",each,27.35
PVCFMA24000,"PVC Socket, female thread 4"" PVCFMA24000",each,380.32
PVCFMR210000750,"PVC Reducing socket, female thread 1"" x 3/4"" PVCFMR210000750",each,40.73
PVCFMR205000375,"PVC Reducing socket, female thread 1/2"" x 3/8"" PVCFMR205000375",each,42.97
PVCFMR212501000,"PVC Reducing socket, female thread 1.1/4"" x 1"" PVCFMR212501000",each,50.78
PVCFMR220001500,"PVC Reducing socket, female thread 2"" x 1.1/2"" PVCFMR220001500",each,102.89
PVCFMR225002000,"PVC Reducing socket, female thread 2.1/2"" x 2"" PVCFMR225002000",each,233.13
PVCFMR207500500,"PVC Reducing socket, female thread 3/4"" x 1/2"" PVCFMR207500500",each,39.07
