description,unit,price
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 150 x MED 6.000Mtr UNSCARFED,m,300.16
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 150 x MED 6.000Mtr SCARFED,m,305.34
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 20 x HVY 6.000Mtr UNSCARFED,m,32.28
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 20 x MED 6.000Mtr UNSCARFED,m,28.31
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 25 x HVY 6.000Mtr UNSCARFED,m,50.04
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 25 x MED 6.000Mtr UNSCARFED,m,39.13
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 32 x HVY 6.000Mtr UNSCARFED,m,64.75
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 32 x MED 6.000Mtr UNSCARFED,m,50.14
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 40 x HVY 6.000Mtr UNSCARFED,m,75.11
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 40 x MED 6.000Mtr UNSCARFED,m,57.63
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 50 x HVY 6.000Mtr SCARFED,m,106.19
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 50 x MED 6.000Mtr UNSCARFED,m,81.86
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 65 x HVY 6.000Mtr SCARFED,m,135.98
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 65 x MED 6.000Mtr SCARFED,m,105.45
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 65 x MED 6.000Mtr UNSCARFED,m,103.60
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 80 x MED 6.000Mtr UNSCARFED,m,132.89
PIPE UNCOATED PLAIN ENDED CQ HR SANS62 80 x MED 6.000Mtr SCARFED,m,135.14
PIPE UNCOATED PLAIN ENDED CQ HR SANS719 GRADE A 200 x 3.5 6.100Mtr,m,356.65
PIPE UNCOATED PLAIN ENDED CQ HR SANS719 GRADE A 200 x 4.5 6.100Mtr,m,461.65
PIPE UNCOATED PLAIN ENDED CQ HR SANS719 GRADE A 200 x 6.0 6.100Mtr,m,629.33
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 250 x 6 6.100Mtr,m,966.98
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 300 x 6 6.100Mtr,m,1151.49
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 350 x 6 6.100Mtr,m,1291.42
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 400 x 6 6.100Mtr,m,1475.66
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 250 x 4.5 6.100Mtr,m,729.33
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 300 x 4.5 6.100Mtr,m,867.62
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 350 x 4.5 6.100Mtr,m,972.70
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 400 x 4.5 6.100Mtr,m,1110.82
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 450 x 4.5 6.100Mtr,m,1252.02
PIPE UNCOATED PLAIN ENDED SANS 719 GRADE B 500 x 4.5 6.100Mtr,m,1454.92
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x BLD x 150,each,1383.19
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x BLD x 200,each,2079.84
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 100,each,565.05
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 15,each,73.64
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 150,each,918.72
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 200,each,1417.61
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 25,each,108.22
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 250,each,2019.45
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x SO x 50,each,201.16
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN160 x 50,each,311.27
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 100,each,776.81
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 150,each,1328.36
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 200,each,2059.72
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 25,each,178.35
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 250,each,3003.91
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 80,each,476.94
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 100,each,809.37
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 200,each,2211.00
FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 25,each,162.57
